  Yr, Mn,    Date,      Date,     18O,seasonally,        fit,  seasonally,      18O, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          , per-mil,  per-mil,    per-mil,  per-mil,   per-mil,  per-mil
1985, 08,   31274, 1985.6219,     0.48,     0.40,       0.42,     0.34,       0.48,     0.40
1985, 09,   31305, 1985.7068,     0.32,     0.38,       0.26,     0.32,       0.32,     0.38
1985, 10,   31335, 1985.7890,    -0.03,     0.15,       0.13,     0.31,      -0.03,     0.15
1985, 11,   31366, 1985.8740,     0.14,     0.35,       0.09,     0.30,       0.14,     0.35
1985, 12,   31396, 1985.9562,     0.11,     0.24,       0.16,     0.29,       0.11,     0.24
1986, 01,   31427, 1986.0411,     0.28,     0.30,       0.27,     0.29,       0.28,     0.30
1986, 02,   31458, 1986.1260,     0.36,     0.30,       0.34,     0.29,       0.36,     0.30
1986, 03,   31486, 1986.2027,     0.27,     0.21,       0.36,     0.29,       0.27,     0.21
1986, 04,   31517, 1986.2877,     0.20,     0.14,       0.35,     0.30,       0.20,     0.14
1986, 05,   31547, 1986.3699,     0.35,     0.27,       0.38,     0.31,       0.35,     0.27
1986, 06,   31578, 1986.4548,     0.48,     0.35,       0.45,     0.32,       0.48,     0.35
1986, 07,   31608, 1986.5370,     0.44,     0.29,       0.48,     0.34,       0.44,     0.29
1986, 08,   31639, 1986.6219,     0.55,     0.48,       0.43,     0.35,       0.55,     0.48
1986, 09,   31670, 1986.7068,     0.36,     0.42,       0.30,     0.37,       0.36,     0.42
1986, 10,   31700, 1986.7890,     0.21,     0.39,       0.20,     0.38,       0.21,     0.39
1986, 11,   31731, 1986.8740,     0.18,     0.39,       0.18,     0.39,       0.18,     0.39
1986, 12,   31761, 1986.9562,     0.35,     0.48,       0.27,     0.40,       0.35,     0.48
1987, 01,   31792, 1987.0411,     0.33,     0.34,       0.39,     0.41,       0.33,     0.34
1987, 02,   31823, 1987.1260,     0.44,     0.38,       0.47,     0.42,       0.44,     0.38
1987, 03,   31851, 1987.2027,     0.50,     0.43,       0.49,     0.42,       0.50,     0.43
1987, 04,   31882, 1987.2877,     0.43,     0.37,       0.49,     0.43,       0.43,     0.37
1987, 05,   31912, 1987.3699,     0.46,     0.39,       0.51,     0.44,       0.46,     0.39
1987, 06,   31943, 1987.4548,     0.59,     0.46,       0.57,     0.45,       0.59,     0.46
1987, 07,   31973, 1987.5370,     0.60,     0.46,       0.60,     0.46,       0.60,     0.46
1987, 08,   32004, 1987.6219,     0.53,     0.45,       0.54,     0.46,       0.53,     0.45
1987, 09,   32035, 1987.7068,     0.55,     0.61,       0.41,     0.47,       0.55,     0.61
1987, 10,   32065, 1987.7890,     0.20,     0.38,       0.29,     0.47,       0.20,     0.38
1987, 11,   32096, 1987.8740,     0.20,     0.41,       0.27,     0.48,       0.20,     0.41
1987, 12,   32126, 1987.9562,     0.35,     0.48,       0.34,     0.48,       0.35,     0.48
1988, 01,   32157, 1988.0410,     0.51,     0.53,       0.46,     0.48,       0.51,     0.53
1988, 02,   32188, 1988.1257,     0.52,     0.47,       0.53,     0.47,       0.52,     0.47
1988, 03,   32217, 1988.2049,     0.57,     0.51,       0.53,     0.47,       0.57,     0.51
1988, 04,   32248, 1988.2896,     0.60,     0.55,       0.51,     0.46,       0.60,     0.55
1988, 05,   32278, 1988.3716,     0.60,     0.53,       0.52,     0.44,       0.60,     0.53
1988, 06,   32309, 1988.4563,     0.43,     0.31,       0.56,     0.43,       0.43,     0.31
1988, 07,   32339, 1988.5383,     0.45,     0.30,       0.56,     0.42,       0.45,     0.30
1988, 08,   32370, 1988.6230,     0.49,     0.41,       0.48,     0.40,       0.49,     0.41
1988, 09,   32401, 1988.7077,     0.36,     0.42,       0.32,     0.38,       0.36,     0.42
1988, 10,   32431, 1988.7896,     0.12,     0.31,       0.19,     0.37,       0.12,     0.31
1988, 11,   32462, 1988.8743,     0.19,     0.40,       0.14,     0.36,       0.19,     0.40
1988, 12,   32492, 1988.9563,     0.19,     0.32,       0.21,     0.34,       0.19,     0.32
1989, 01,   32523, 1989.0411,     0.31,     0.32,       0.32,     0.33,       0.31,     0.32
1989, 02,   32554, 1989.1260,     0.23,     0.17,       0.38,     0.32,       0.23,     0.17
1989, 03,   32582, 1989.2027,     0.37,     0.30,       0.38,     0.31,       0.37,     0.30
1989, 04,   32613, 1989.2877,     0.40,     0.34,       0.36,     0.30,       0.40,     0.34
1989, 05,   32643, 1989.3699,     0.38,     0.30,       0.37,     0.30,       0.38,     0.30
1989, 06,   32674, 1989.4548,     0.39,     0.26,       0.42,     0.29,       0.39,     0.26
1989, 07,   32704, 1989.5370,     0.48,     0.33,       0.43,     0.29,       0.48,     0.33
1989, 08,   32735, 1989.6219,     0.37,     0.29,       0.36,     0.28,       0.37,     0.29
1989, 09,   32766, 1989.7068,     0.17,     0.23,       0.22,     0.28,       0.17,     0.23
1989, 10,   32796, 1989.7890,     0.15,     0.33,       0.09,     0.28,       0.15,     0.33
1989, 11,   32827, 1989.8740,     0.09,     0.30,       0.06,     0.28,       0.09,     0.30
1989, 12,   32857, 1989.9562,     0.15,     0.28,       0.14,     0.28,       0.15,     0.28
1990, 01,   32888, 1990.0411,     0.36,     0.38,       0.26,     0.28,       0.36,     0.38
1990, 02,   32919, 1990.1260,     0.24,     0.18,       0.34,     0.28,       0.24,     0.18
1990, 03,   32947, 1990.2027,     0.32,     0.25,       0.35,     0.28,       0.32,     0.25
1990, 04,   32978, 1990.2877,     0.36,     0.31,       0.34,     0.28,       0.36,     0.31
1990, 05,   33008, 1990.3699,     0.30,     0.22,       0.36,     0.28,       0.30,     0.22
1990, 06,   33039, 1990.4548,     0.38,     0.25,       0.42,     0.29,       0.38,     0.25
1990, 07,   33069, 1990.5370,     0.49,     0.34,       0.44,     0.29,       0.49,     0.34
