"   Sample,Sample,    Excel,   Sample, NC,FGC,     CO2, NM,FGM,     CH4, NO,FGO,     CO, N13,FG3,13C-CO2,N18,FG8,18O-CO2,N14,FG4,14C-CO2"
"     Date,  Time,     Date,     Date,"
1962-06-15, 14:20, 22812.60, 1962.454,  2,  0,  319.75,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-07-01, 16:15, 22828.68, 1962.498,  2,  0,  319.00,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-07-16, 11:05, 22843.46, 1962.538,  2,  0,  317.79,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-08-01, 11:31, 22859.48, 1962.582,  2,  5,  319.80,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-08-15, 15:03, 22873.63, 1962.621,  2,  0,  317.12,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-09-15, 11:50, 22904.49, 1962.705,  2,  0,  315.36,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-10-03, 14:10, 22922.59, 1962.755,  2,  0,  314.40,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-11-02, 11:00, 22952.46, 1962.837,  2,  0,  316.09,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-11-16, 09:55, 22966.41, 1962.875,  2,  0,  317.25,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-12-02, 21:55, 22982.91, 1962.920,  2,  2,  317.63,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1962-12-16, 22:13, 22996.93, 1962.959,  2,  2,  318.65,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-01-02, 22:30, 23013.94, 1963.005,  2,  4,  322.60,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-01-15, 22:00, 23026.92, 1963.041,  2,  4,  318.58,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-02-01, 22:28, 23043.94, 1963.087,  2,  4,  321.64,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-02-15, 22:40, 23057.94, 1963.126,  2,  2,  319.80,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-03-01, 22:00, 23071.92, 1963.164,  2,  2,  319.82,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-03-17, 22:45, 23087.95, 1963.208,  2,  2,  320.31,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-04-03, 00:45, 23104.03, 1963.252,  2,  2,  320.93,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-04-20, 21:00, 23121.88, 1963.301,  2,  2,  323.28,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-05-01, 22:00, 23132.92, 1963.331,  2,  2,  323.23,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-06-02, 22:00, 23164.92, 1963.419,  2,  2,  322.43,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-06-15, 22:45, 23177.95, 1963.455,  2,  2,  321.62,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-07-05, 07:15, 23197.30, 1963.508,  2,  4,  322.02,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-07-16, 22:05, 23208.92, 1963.540,  2,  4,  321.15,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-08-02, 23:00, 23225.96, 1963.586,  2,  4,  320.65,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-08-15, 22:35, 23238.94, 1963.622,  2,  2,  317.45,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-09-04, 22:00, 23258.92, 1963.676,  2,  2,  317.11,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-09-17, 08:00, 23271.33, 1963.711,  2,  0,  316.38,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-10-01, 22:00, 23285.92, 1963.750,  1,  4,  316.65,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-10-17, 23:00, 23301.96, 1963.794,  2,  2,  316.54,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1963-12-17, 21:50, 23362.91, 1963.961,  2,  2,  320.27,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1964-01-15, 19:00, 23391.79, 1964.040,  2,  2,  320.57,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
